// Start Time: 1748432634.6645443
// Update Rate: 100Hz 
// Filter Profile: 46.1 human
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0														8.666254163737344	3.8963706397032185	2.093468116845798	0.09803585202865017	0.45313458499774506	0.8860349990807015	-0.6363689828765757	-0.6559665279177052	0.40588475197304946	0.765129720602755	-0.6036364486431488	0.2240525574945267
1														8.66237657998211	3.865386215369263	2.066705951110238	0.09724680195386948	0.45312846105448895	0.8861250799363117	-0.6363068327210768	-0.6563032244237172	0.40543765518696306	0.765282087953335	-0.6032749583675935	0.22450534618213863
2														8.731512625354219	3.88526559522655	2.0610688885728905	0.09653998621283139	0.45315740925380354	0.8861875611293621	-0.6360622278350079	-0.6567373644854121	0.40511834864681395	0.7655748646498217	-0.6027805542045428	0.22483489517704178
3														8.701923551844157	3.909880343177374	2.101523260454998	0.09593433682575464	0.4531995221227473	0.8862317959571951	-0.6359303621352798	-0.6570397244477536	0.4048349972669254	0.7657605223124878	-0.6024192839255174	0.22517066598998262
4														8.683041379040015	3.9312362815715782	2.08783566825788	0.0953612769572591	0.45322846636242853	0.8862788410742085	-0.6355648405835349	-0.6575195961580839	0.40462984823432935	0.7661354712262755	-0.6018736893625369	0.22535416965750066
5														8.649586426957217	4.003071438622617	2.088921510663425	0.0948528286416041	0.4532002997111798	0.8863478037657587	-0.6351423206703865	-0.658046318153884	0.4044369860158116	0.7665488721484907	-0.6013189931357686	0.22542913543298448
6														8.65443934305338	4.052594976004416	2.121452636259673	0.09446674085513668	0.45318937496741746	0.8863946216493249	-0.634951995403173	-0.6583386522816919	0.404260043097824	0.7667541968621608	-0.601007162460288	0.22556239107106396
7														8.597282688538751	4.072484602603997	2.0764701500633427	0.09418734870493961	0.4530987218922808	0.8864706941368761	-0.6349767479647432	-0.6584604205411982	0.4040227767401564	0.7667680698151509	-0.6009421126866455	0.2256885116962272
8														8.654928321336762	4.024921303968483	2.1267601783800623	0.09403304888955932	0.4530247031024671	0.8865249032573511	-0.6350947412173064	-0.6584567699265662	0.403843226779893	0.7666892821702002	-0.6010019139044358	0.22579690894374232
9														8.631616930968887	3.9710232932697855	2.082597525125023	0.0939174624689526	0.4528580934086175	0.8866222744087273	-0.6353517449789337	-0.6583723830522012	0.40357646783031037	0.7664904894358553	-0.6012198869535814	0.22589151629909807
10														8.65151254148408	3.969953789277158	2.098613362771608	0.09385874748974654	0.4526811820699662	0.8867188296858219	-0.6355021529607202	-0.6583558451560912	0.40336657612040394	0.7663729830193291	-0.6013712069500388	0.22588741078136307
11														8.636417622194543	3.896851476462433	2.1235504487531585	0.0938338072898548	0.4525317218265644	0.8867977544796651	-0.6355940390001368	-0.6583606075118733	0.40321399785236994	0.7662998330921026	-0.6014784711170328	0.22584998247893143
12														8.63706729440345	3.920259001582345	2.1217510771608494	0.09387257797002535	0.45238555260069924	0.8868682263467453	-0.6355870978265403	-0.658418672054832	0.4031301196462352	0.7663008418249961	-0.6015248657268559	0.2257229623467463
13														8.622387445721223	3.921356271181097	2.140161791223563	0.09396220689283213	0.4522499239351824	0.886927905737806	-0.6355576106304158	-0.6584714858754805	0.4030903445366727	0.7663143136113181	-0.6015690389220165	0.22555944707516934
14														8.642442501534555	3.97074483314598	2.150462926443942	0.09409820913008765	0.4520677156806063	0.8870063739781293	-0.6355252360354899	-0.658531183613729	0.4030438618442613	0.7663244752717644	-0.6016406407878541	0.22533383667757326
15														8.623965879774385	3.993948139108337	2.1319765347407005	0.09428421346989035	0.45183272128134205	0.8871063516117227	-0.6356037029990359	-0.6585099673485696	0.40295478113120753	0.7662365299463852	-0.6018403566412633	0.22509945644900914
16														8.673920933348231	3.9914817431327076	2.106706398982256	0.0944745517870908	0.45159395820133097	0.88720767353573	-0.6356246189955607	-0.6585340658464623	0.4028823995243216	0.7661957339945037	-0.6019931735790542	0.2248295269150431
17														8.67897255877118	4.0178589574024235	2.137251675866443	0.09471075199023882	0.4513620054928474	0.8873005203734071	-0.6357531990397804	-0.6584540397369287	0.4028103120139866	0.7660598823643813	-0.6022546118973227	0.22459216166259352
18														8.698742642301573	4.018540449341197	2.150515451500138	0.09492164114448803	0.45116395443838575	0.8873787062229717	-0.6358060442623769	-0.6584271137101538	0.4027709150506582	0.765989919073264	-0.6024324212281691	0.22435378697784508
19														8.67370437174141	4.047963546610994	2.2196079320541133	0.09517557532736598	0.4509037253970377	0.8874837690257652	-0.6359514600267308	-0.6583401409628514	0.4026834976589955	0.7658376788530153	-0.6027222322264922	0.22409498082049964
20														8.723977930940071	4.069470192369325	2.192820511240891	0.09545748934967363	0.45061981625155223	0.887597684161284	-0.636210619646858	-0.6581641713114168	0.4025617605418045	0.7655873008191934	-0.6031266076068719	0.22386241314925698
21														8.758647943700813	4.019105056500906	2.190722208492422	0.09576056330099408	0.4503234290930111	0.8877154520037309	-0.6367029488322806	-0.657802046195618	0.40237522658475927	0.7651400325852482	-0.603742724370878	0.2237307607475456
22														8.758337616441295	3.8963060024409546	2.1981745002301447	0.09603161308878466	0.4500717323993498	0.8878138121152506	-0.6370039909235466	-0.657581464689779	0.40225928559067275	0.7648554404820818	-0.6041705495896771	0.2235488809488152
23														8.758724203405327	3.8713958467079825	2.1984820874186206	0.0962936775126827	0.4498418100000412	0.8879019504691779	-0.6371772698052731	-0.657454884090038	0.40219174808746755	0.764678137855779	-0.6044794631433243	0.22332022775238433
24														8.744595052442005	3.921645580042998	2.2123897672055657	0.09654077712835063	0.449657538488564	0.8879684546378103	-0.6371671785207249	-0.6574578409052465	0.4022029015909154	0.7646553896804716	-0.6046133355398461	0.22303553420921243
25														8.71486473487274	3.9251987243790167	2.2487430091298233	0.0967885800093799	0.44951311229349045	0.8880146016006649	-0.6371091035479778	-0.6574804253030675	0.4022579775710975	0.7646724533786085	-0.6046961652098657	0.22275229925732007
26														8.699947525815055	3.9274926246305073	2.2662505128141883	0.09698915845104078	0.44941398571697005	0.8880428889332688	-0.6370722176368313	-0.6574826428789192	0.40231276866169885	0.7646777704747594	-0.6047674294759423	0.22254047628872486
27														8.680693157233875	3.927569643675637	2.24954572740992	0.0972781967984328	0.44927833697473896	0.8880799110175043	-0.637065729261474	-0.6574456506780656	0.40238348997572115	0.7646464601554052	-0.6049084164811297	0.22226470399525974
28														8.714494295186697	3.879579762452941	2.246645211627942	0.09757778867272854	0.44918767173898705	0.8880929065787246	-0.6370138288549411	-0.6574203881981283	0.4025069130201235	0.7646515265173459	-0.6050031972966171	0.22198913094014847
29														8.695212413980103	3.9045588910483833	2.2281274751423363	0.09784656718160345	0.4491277525647148	0.8880936387380248	-0.6369313501083149	-0.6574164074863199	0.40264391516199677	0.7646858861911708	-0.6050520052391781	0.2217376071307583
30														8.699325305976435	3.9330137894489416	2.2590526042756043	0.09811498588255074	0.4491152480537929	0.8880703482893952	-0.6368632380827374	-0.6573796579516313	0.40281162010320376	0.7647082224770689	-0.6051012140766016	0.22152619528846987
